"id","category_id","type","title","doing","learn","skill","skill_note","teacher","teacher_qualification","bring","charge","cost","book","note","start","end","link"
55,74,"introduction","1.5 fastening","Know what you're doing from the ground up : Fastening: what to use, why and how.","",1,NULL,"Lee Bennett","After leaving the British Navy, Lee Bennett created special effects with Weta Workshop, single handedly subdivided his property, renovated a boat, became a commercial pilot, built a plane in his conservatory, and built WW1 vehicles and planes (in a proper factory this time).<br><Br>Lee Bennett is one of the founders of Wellington MakerSpace, the first floor space at 6 Vivian St they’ve outfitted provides a workshop on steroids. It is specifically provided for those looking to make one-offs, prototypes and sellable items from plastic, metal and wood – but who don’t have either their own facility nor the scope or scale to necessarily approach larger scale engineers or fabricators.","","cost","$20","Click the link on this lesson. You will be transferred to the event on Meetup where you must RSVP. A time and date will be announced once the minimum interest level has been reached. If the organized time does not work, you will be able to cancel at this time with no penalty or cost.","","","",""
56,74,"introduction","2.1 fastening: welding, brazing and soldering","Beyond nuts and bolts : Welding, Brazing and Soldering","",4,NULL,"Lee Bennett","After leaving the British Navy, Lee Bennett created special effects with Weta Workshop, single handedly subdivided his property, renovated a boat, became a commercial pilot, built a plane in his conservatory, and built WW1 vehicles and planes (in a proper factory this time).<br><Br>Lee Bennett is one of the founders of Wellington MakerSpace, the first floor space at 6 Vivian St they’ve outfitted provides a workshop on steroids. It is specifically provided for those looking to make one-offs, prototypes and sellable items from plastic, metal and wood – but who don’t have either their own facility nor the scope or scale to necessarily approach larger scale engineers or fabricators.","","cost","$20","Click the link on this lesson. You will be transferred to the event on Meetup where you must RSVP. A time and date will be announced once the minimum interest level has been reached. If the organized time does not work, you will be able to cancel at this time with no penalty or cost.","","","",""
57,74,"introduction","2.2 mechanizing","Beyond nuts and bolts : Mechanizing","",4,NULL,"Lee Bennett","After leaving the British Navy, Lee Bennett created special effects with Weta Workshop, single handedly subdivided his property, renovated a boat, became a commercial pilot, built a plane in his conservatory, and built WW1 vehicles and planes (in a proper factory this time).<br><Br>Lee Bennett is one of the founders of Wellington MakerSpace, the first floor space at 6 Vivian St they’ve outfitted provides a workshop on steroids. It is specifically provided for those looking to make one-offs, prototypes and sellable items from plastic, metal and wood – but who don’t have either their own facility nor the scope or scale to necessarily approach larger scale engineers or fabricators.","","cost","$20","Click the link on this lesson. You will be transferred to the event on Meetup where you must RSVP. A time and date will be announced once the minimum interest level has been reached. If the organized time does not work, you will be able to cancel at this time with no penalty or cost.","","","",""
58,74,"next step","2.2.1 levers","Beyond nuts and bolts : Levers","",4,NULL,"Lee Bennett","After leaving the British Navy, Lee Bennett created special effects with Weta Workshop, single handedly subdivided his property, renovated a boat, became a commercial pilot, built a plane in his conservatory, and built WW1 vehicles and planes (in a proper factory this time).<br><Br>Lee Bennett is one of the founders of Wellington MakerSpace, the first floor space at 6 Vivian St they’ve outfitted provides a workshop on steroids. It is specifically provided for those looking to make one-offs, prototypes and sellable items from plastic, metal and wood – but who don’t have either their own facility nor the scope or scale to necessarily approach larger scale engineers or fabricators.","","cost","$20","Click the link on this lesson. You will be transferred to the event on Meetup where you must RSVP. A time and date will be announced once the minimum interest level has been reached. If the organized time does not work, you will be able to cancel at this time with no penalty or cost.","","","",""
59,74,"next step","2.2.2 belts","Beyond nuts and bolts : Belts","",4,NULL,"Lee Bennett","After leaving the British Navy, Lee Bennett created special effects with Weta Workshop, single handedly subdivided his property, renovated a boat, became a commercial pilot, built a plane in his conservatory, and built WW1 vehicles and planes (in a proper factory this time).<br><Br>Lee Bennett is one of the founders of Wellington MakerSpace, the first floor space at 6 Vivian St they’ve outfitted provides a workshop on steroids. It is specifically provided for those looking to make one-offs, prototypes and sellable items from plastic, metal and wood – but who don’t have either their own facility nor the scope or scale to necessarily approach larger scale engineers or fabricators.","","cost","$20","Click the link on this lesson. You will be transferred to the event on Meetup where you must RSVP. A time and date will be announced once the minimum interest level has been reached. If the organized time does not work, you will be able to cancel at this time with no penalty or cost.","","","",""
60,74,"zero to hero","build a chicken run!","A dry chicken is a happy chicken. Build a chicken shelter.","",4,NULL,"Lee Bennett","After leaving the British Navy, Lee Bennett created special effects with Weta Workshop, single handedly subdivided his property, renovated a boat, became a commercial pilot, built a plane in his conservatory, and built WW1 vehicles and planes (in a proper factory this time).<br><Br>Lee Bennett is one of the founders of Wellington MakerSpace, the first floor space at 6 Vivian St they’ve outfitted provides a workshop on steroids. It is specifically provided for those looking to make one-offs, prototypes and sellable items from plastic, metal and wood – but who don’t have either their own facility nor the scope or scale to necessarily approach larger scale engineers or fabricators.","","cost","$20","Click the link on this lesson. You will be transferred to the event on Meetup where you must RSVP. A time and date will be announced once the minimum interest level has been reached. If the organized time does not work, you will be able to cancel at this time with no penalty or cost.","","","",""
61,74,"zero to hero","build a mailbox!","Letters: All they want is a room somewhere, far away from the cold night air. Build a letterbox to be proud of.","",4,NULL,"Lee Bennett","After leaving the British Navy, Lee Bennett created special effects with Weta Workshop, single handedly subdivided his property, renovated a boat, became a commercial pilot, built a plane in his conservatory, and built WW1 vehicles and planes (in a proper factory this time).<br><Br>Lee Bennett is one of the founders of Wellington MakerSpace, the first floor space at 6 Vivian St they’ve outfitted provides a workshop on steroids. It is specifically provided for those looking to make one-offs, prototypes and sellable items from plastic, metal and wood – but who don’t have either their own facility nor the scope or scale to necessarily approach larger scale engineers or fabricators.","","cost","$20","Click the link on this lesson. You will be transferred to the event on Meetup where you must RSVP. A time and date will be announced once the minimum interest level has been reached. If the organized time does not work, you will be able to cancel at this time with no penalty or cost.","","","",""
62,74,"introduction","3.1 construction: loading","Make things that don't fall over and can carry weight from the simplest of materials - straws and plasticine","",5,NULL,"Lee Bennett","After leaving the British Navy, Lee Bennett created special effects with Weta Workshop, single handedly subdivided his property, renovated a boat, became a commercial pilot, built a plane in his conservatory, and built WW1 vehicles and planes (in a proper factory this time).<br><Br>Lee Bennett is one of the founders of Wellington MakerSpace, the first floor space at 6 Vivian St they’ve outfitted provides a workshop on steroids. It is specifically provided for those looking to make one-offs, prototypes and sellable items from plastic, metal and wood – but who don’t have either their own facility nor the scope or scale to necessarily approach larger scale engineers or fabricators.","","cost","$20","Click the link on this lesson. You will be transferred to the event on Meetup where you must RSVP. A time and date will be announced once the minimum interest level has been reached. If the organized time does not work, you will be able to cancel at this time with no penalty or cost.","","","",""
63,74,"zero to hero","electric screw-powered car","Born to be Wild: Build a Black-and-Decker powered car or spiral locomotive. Bring yer own cordless drill for this one!","",1,NULL,"Lee Bennett","After leaving the British Navy, Lee Bennett created special effects with Weta Workshop, single handedly subdivided his property, renovated a boat, became a commercial pilot, built a plane in his conservatory, and built WW1 vehicles and planes (in a proper factory this time).<br><Br>Lee Bennett is one of the founders of Wellington MakerSpace, the first floor space at 6 Vivian St they’ve outfitted provides a workshop on steroids. It is specifically provided for those looking to make one-offs, prototypes and sellable items from plastic, metal and wood – but who don’t have either their own facility nor the scope or scale to necessarily approach larger scale engineers or fabricators.","Cordless drill","cost","$20","Click the link on this lesson. You will be transferred to the event on Meetup where you must RSVP. A time and date will be announced once the minimum interest level has been reached. If the organized time does not work, you will be able to cancel at this time with no penalty or cost.","","","",""
64,69,"introduction","raw brilliance","An introduction to the magic of raw food!","You'll learn some of the benefits of raw foods, as well as some ways to prepare raw foods (soaking and sprouting; dehydrating; blending; fermenting; pickling; juicing) as well as the type of equipment you might use to prepare it.",1,"","Rohan","","","please select..","","Click the link on this lesson. You will be transferred to the event on Meetup where you must RSVP. A time and date will be announced once the minimum interest level has been reached. If the organized time does not work, you will be able to cancel at this time with no penalty or cost.","","","",""
66,74,"introduction","born to be wild: go kart (soap box)","Born to be Wild: Soap Box Go Karts... Gravity-propelled fun until you get your legs caught in the steering ;)","",1,NULL,"Lee Bennett","After leaving the British Navy, Lee Bennett created special effects with Weta Workshop, single handedly subdivided his property, renovated a boat, became a commercial pilot, built a plane in his conservatory, and built WW1 vehicles and planes (in a proper factory this time).<br><Br>Lee Bennett is one of the founders of Wellington MakerSpace, the first floor space at 6 Vivian St they’ve outfitted provides a workshop on steroids. It is specifically provided for those looking to make one-offs, prototypes and sellable items from plastic, metal and wood – but who don’t have either their own facility nor the scope or scale to necessarily approach larger scale engineers or fabricators.","","cost","$20","Click the link on this lesson. You will be transferred to the event on Meetup where you must RSVP. A time and date will be announced once the minimum interest level has been reached. If the organized time does not work, you will be able to cancel at this time with no penalty or cost.","","","",""
67,74,"introduction","born to be wild: go kart (electric)","Born to be Wild: Electric go-karts... the future of transport...or not.","",1,NULL,"Lee Bennett","After leaving the British Navy, Lee Bennett created special effects with Weta Workshop, single handedly subdivided his property, renovated a boat, became a commercial pilot, built a plane in his conservatory, and built WW1 vehicles and planes (in a proper factory this time).<br><Br>Lee Bennett is one of the founders of Wellington MakerSpace, the first floor space at 6 Vivian St they’ve outfitted provides a workshop on steroids. It is specifically provided for those looking to make one-offs, prototypes and sellable items from plastic, metal and wood – but who don’t have either their own facility nor the scope or scale to necessarily approach larger scale engineers or fabricators.","","cost","$20","Click the link on this lesson. You will be transferred to the event on Meetup where you must RSVP. A time and date will be announced once the minimum interest level has been reached. If the organized time does not work, you will be able to cancel at this time with no penalty or cost.","","","",""
68,72,"introduction","stand up comedy","Ever fancied trying stand-up comedy? Now's your chance!","The first lesson would involve a brainstorm writing session, and a run down of how you would start working on a 6min set. Basically, how to structure a set, stage presence, and a few tips on public speaking.",1,"","Jerome Chandrahasen","Jerome has been involved in stand up comedy for 8 years as a performer and producer, and have also tutored for the Class Comedians programme, bringing stand up comedy into high schools.<br><Br>Jerome belongs to The Humorous Arts Trust. Wellington based, they run regular comedy events in the capital and around the Wellington region including the Raw Comedy Quest, the capital's only open mic comedy competition, and they venue manage the Fringe Bar during the NZ International Comedy Festival. They have run weekly comedy nights for the past two years.","","cost","$15","Click the link on this lesson. You will be transferred to the event on Meetup where you must RSVP. A time and date will be announced once the minimum interest level has been reached. If the organized time does not work, you will be able to cancel at this time with no penalty or cost.","","","",""
69,72,"introduction","taiko drumming","Taiko (太鼓?) means 'drum' in Japanese (etymologically 'great' or 'wide drum'). Outside Japan, the word is often used to refer to any of the various Japanese drums (和太鼓, 'wa-daiko', 'Japanese drum', in Japanese) and to the relatively recent art-form of ensemble taiko drumming (sometimes called more specifically, 'kumi-daiko' (組太鼓)). The performances can last between 5 and 25 minutes and typically follow a jo-ha-kyū (beginning, middle, end/rapid, sudden, urgent, and emergency) structure, which means the performance will speed up significantly towards the grand finale.","Introducing Taiko drumming!",1,"","Josh Vial and Rebeka Whale","","","free","","Click the link on this lesson. You will be transferred to the event on Meetup where you must RSVP. A time and date will be announced once the minimum interest level has been reached. If the organized time does not work, you will be able to cancel at this time with no penalty or cost.","","","",""
70,72,"introduction","tap dancing","Tap dancing was brought to the world by 'hoofers' on the streets of the US.  Early dancers wore soft shoes, heavy shoes, dimes stuck to their soles and eventually 'tap plates' on the ball and heels of their shoes.  Whatever shoe you have, come along for an evening of learning a few basic steps and rhythms and we'll have you shuffling those shoes in no time.","the basics of tap dancing!",1,NULL,"Elinor Cuttiford","Elinor Cuttiford started tap dancing when she was 7, moving through the standard 'forward step ball change' steps to loose, chunky a capella rhythms.  In this session we'll try to keep it loose.","Shoes: any shoe that's comfortable, with a flattish sole, that ideally makes a bit of noise on a hard surface.  (No high heels, running shoes/trainers).","free","","Click the link on this lesson. You will be transferred to the event on Meetup where you must RSVP. A time and date will be announced once the minimum interest level has been reached. If the organized time does not work, you will be able to cancel at this time with no penalty or cost.","","","",""
71,72,"introduction","ukulele","Learn ukelele with Brandon!","",1,"","Brandon Mikel","","","please select..","","Click the link on this lesson. You will be transferred to the event on Meetup where you must RSVP. A time and date will be announced once the minimum interest level has been reached. If the organized time does not work, you will be able to cancel at this time with no penalty or cost.","","","",""
73,0,"introduction","enliven your wardrobe","your wardrobe is an expression of your personality! give your wardrobe a new lease on life, by getting creative and adding a few inexpensive items.","we will be focusing on simplifying and invigorating your wardrobe and will explore colour, patterns, accessories, and find out which clothes match your figure.",1,NULL,"megan salole","","","donation","to ActionStation","","","","",""
74,71,"introduction","daily meditation","Sit and practice calming the mind in a supportive home environment. This meditation practice is about grounding, quietening the mind, and noticing emotions, thoughts and sensations as they emerge. There is no particular spiritual tradition underpinning this practice, we are just taking shared elements of many meditative practices and putting them to work for us so that we can experience calm, clarity and inner balance.","",1,NULL,"Megan Salole","","","donation","to Action Station","Click the link on this lesson. You will be transferred to the event on Meetup where you must RSVP. A time and date will be announced once the minimum interest level has been reached. If the organized time does not work, you will be able to cancel at this time with no penalty or cost.","","","",""
75,73,"introduction","astronomy","An evening looking at the night sky in the Botanic Gardens (possibly using the Carter telescope if it is a clear night!) and a wander around Carter Observatory exhibition (planetarium show too if anyone wants to do that)","Basic Astronomy- how to use a star map, finding/observing  the planets and where to look, where to find some important and easy constellations and stars. How to do some celestial navigation and some features of the moon. Cross fingers to see some shooting stars! If it is a clear night, we could go and look at the planets/moon/star clusters in the Thomas Cooke telescope at Carter.",1,"none - just enthusiasm!","Becky Bateman","Becky is a presenter and educator at Carter Observatory, and an amateur astronomer since she was a teenager and would often sneak out in the night to watch the stars.","No equipment needed, but if anyone has binoculars that would be good.","please select..","","Click the link on this lesson. You will be transferred to the event on Meetup where you must RSVP. A time and date will be announced once the minimum interest level has been reached. If the organized time does not work, you will be able to cancel at this time with no penalty or cost.","","","",""
78,73,"introduction","superconductivity: the atoms that don&#039;t think they exist","In this phenomenal introduction, you'll be playing with superconductors and liquid nitrogen in the undergrad physics labs at Victoria University!","What superconductors are, what makes them remarkable, who makes them in NZ and just how deeply weird they and their effects are.",1,"","Elf Eldridge","When Elf isn't being a space pirate, he works at the Carter Observatory, does some other stuff....and in his day job he is a PhD student at the MacDiarmid Institute for Advanced Materials and Nanotechnology where he researches nanopore technology. In other words, using very, very small holes to study very very small particles such as viruses, DNA or proteins. <br><br>He's also kind of a geek and a nerd (in case you hadn't figured that one out yet)","","donation","$20","Click the link on this lesson. You will be transferred to the event on Meetup where you must RSVP. A time and date will be announced once the minimum interest level has been reached. If the organized time does not work, you will be able to cancel at this time with no penalty or cost.","","","",""
79,73,"introduction","twinkle twinkle little star - a playful intro to astrophysics","We&#039;re going to take a night time stroll and spend time to look at the constellations and marvellous stellar bodies in out night skies that hold clues to humanity&#039;s past and future. What is humanity&#039;s reach into the universe? How far can we see? What is likely to be out there?","What objects of astrophysics significance are visible in the NZ winter skies. What each of them means, some of their mysteries and lessons and what this means for the survival of a space faring race.",1,"","Elf Eldridge","When Elf isn't being a space pirate, he works at the Carter Observatory, does some other stuff....and in his day job he is a PhD student at the MacDiarmid Institute for Advanced Materials and Nanotechnology where he researches nanopore technology. In other words, using very, very small holes to study very very small particles such as viruses, DNA or proteins. <br><br>He's also kind of a geek and a nerd (in case you hadn't figured that one out yet)","","donation","$10","Click the link on this lesson. You will be transferred to the event on Meetup where you must RSVP. A time and date will be announced once the minimum interest level has been reached. If the organized time does not work, you will be able to cancel at this time with no penalty or cost.","","","",""
80,73,"introduction","you can&#039;t do that at home... can you? casual smart materials","Advanced materials and nanotechnology are two of the research topics of the MacDiamird Institute, New Zealand leading CoRE (Centre for Research Excellence). However it turns out that you dont need fancy equipment or labs to see some of these weird and wonderful materials. One of their PhD students will take you through some basic science experiments you can do at home to make to look in wonder at the everyday materials around us that might one day end up changing the way we live our lives.","What are smart materials and how do they function. What are they useful for? How can you make them from basic, non-toxic household ingredients? Is this dangerous?",1,"","Elf Eldridge","When Elf isn't being a space pirate, he works at the Carter Observatory, does some other stuff....and in his day job he is a PhD student at the MacDiarmid Institute for Advanced Materials and Nanotechnology where he researches nanopore technology. In other words, using very, very small holes to study very very small particles such as viruses, DNA or proteins. <br><br>He's also kind of a geek and a nerd (in case you hadn't figured that one out yet)","","free","","Click the link on this lesson. You will be transferred to the event on Meetup where you must RSVP. A time and date will be announced once the minimum interest level has been reached. If the organized time does not work, you will be able to cancel at this time with no penalty or cost.","","","",""
81,73,"introduction","kiwimars: the nz space programme","Meet Haritina Mogosanu, deputy head of Kiwispace and the closest thing New Zealand has to an astronaut! <br><Br>Haritine will discuss her recent mission to the wilds of Utah in April 2012 where she and 3 other intrepid Kiwinauts simulated a landing on the surface of the red planet, Mars. <br><br>For 2 weeks they lived, ate and explored as if they were marooned on this desert rock. Hari will explain the difficulties of the mission and also chat about her plans for NZ's and mankind's space future.","What systems are needed to support life in space and on mars and how we currently do this. Why aren't more humans currently living in space? Will we ever live on mars and what do we need to get there?",1,"","Elf Eldridge","When Elf isn't being a space pirate, he works at the Carter Observatory, does some other stuff....and in his day job he is a PhD student at the MacDiarmid Institute for Advanced Materials and Nanotechnology where he researches nanopore technology. In other words, using very, very small holes to study very very small particles such as viruses, DNA or proteins. <br><br>He's also kind of a geek and a nerd (in case you hadn't figured that one out yet)","","free","","Click the link on this lesson. You will be transferred to the event on Meetup where you must RSVP. A time and date will be announced once the minimum interest level has been reached. If the organized time does not work, you will be able to cancel at this time with no penalty or cost.","","","",""
82,73,"introduction","dna technology - myth, reality or demon?","We're taking a closer look at the DNA that makes living organisims function, what it's made of, how you can get your hands on some and a glimpse into some of the technologies that it may allow in the near future.","The ins and outs and quirks of DNA and genetics on a basic molecular level. We will also look at the bioinformatics (information content of an organism's genome) and what this means for a 'complex organisms. <br><br>By the end of this session you will have a clear understanding of just how marvellous and complicated a single cell is, and just how much potential lies within the small genetic blueprint lying dormant within every single human cell.",1,"","Elf Eldridge","When Elf isn't being a space pirate, he works at the Carter Observatory, does some other stuff....and in his day job he is a PhD student at the MacDiarmid Institute for Advanced Materials and Nanotechnology where he researches nanopore technology. In other words, using very, very small holes to study very very small particles such as viruses, DNA or proteins. <br><br>He's also kind of a geek and a nerd (in case you hadn't figured that one out yet)","","free","","Click the link on this lesson. You will be transferred to the event on Meetup where you must RSVP. A time and date will be announced once the minimum interest level has been reached. If the organized time does not work, you will be able to cancel at this time with no penalty or cost.","","","",""
83,62,"introduction","sculpture: 3d machine","Ever been interested in 3D machines? Now is your chance to check one out...in 3D!<br><Br>This is a special introduction to 3D sculpting, art from bits to atoms - 3D Sculpture Machines for er..... sculpture.","- the basics of 3D sculpting <Br> - how to turn a 3D model into a miniature figurine/sculpture",1,"Beginners are welcome!","Lee Bennett","After leaving the British Navy, Lee Bennett created special effects with Weta Workshop, single handedly subdivided his property, renovated a boat, became a commercial pilot, built a plane in his conservatory, and built WW1 vehicles and planes (in a proper factory this time).<br><Br>Lee Bennett is one of the founders of Wellington MakerSpace, the first floor space at 6 Vivian St they’ve outfitted provides a workshop on steroids. It is specifically provided for those looking to make one-offs, prototypes and sellable items from plastic, metal and wood – but who don’t have either their own facility nor the scope or scale to necessarily approach larger scale engineers or fabricators.","","cost","$20","Click the link on this lesson. You will be transferred to the event on Meetup where you must RSVP. A time and date will be announced once the minimum interest level has been reached. If the organized time does not work, you will be able to cancel at this time with no penalty or cost.","","","","http://sticknz.net/2012/06/26/if-we-build-it-will-they-come-makerspace-takes-a-punt/"
84,62,"introduction","sculpture: clay and wax","No machine to make your art? Oh --well use your hands or feet...like your ancestors did ages ago! <br><Br>","Learn art from the inside - sculpture with clay and wax.",1,"Beginners welcome!","Lee Bennett","After leaving the British Navy, Lee Bennett created special effects with Weta Workshop, single handedly subdivided his property, renovated a boat, became a commercial pilot, built a plane in his conservatory, and built WW1 vehicles and planes (in a proper factory this time).<br><Br>Lee Bennett is one of the founders of Wellington MakerSpace, the first floor space at 6 Vivian St they’ve outfitted provides a workshop on steroids. It is specifically provided for those looking to make one-offs, prototypes and sellable items from plastic, metal and wood – but who don’t have either their own facility nor the scope or scale to necessarily approach larger scale engineers or fabricators.","","cost","$20","Click the link on this lesson. You will be transferred to the event on Meetup where you must RSVP. A time and date will be announced once the minimum interest level has been reached. If the organized time does not work, you will be able to cancel at this time with no penalty or cost.","","","","http://sticknz.net/2012/06/26/if-we-build-it-will-they-come-makerspace-takes-a-punt/"
85,62,"introduction","sculpture: polystyrene foam","Make it fast, make it easy - sculpture from modern materials: foam/Polystyrene. Soft, easy to work, great fun!<br><Br>An incredibly fast material to sculpt with, foam is a favorite on film sets all over the world. A foam sculpture can be created in a fraction of the time it would take to try and carve a standard sculpture. <br><br><b>building a city in a day</b><Br><br>Combined with a hard plastic coating, foam sculptures can be very lightweight and durable.<br><br><b>about foam</b><br><br>An amazing sculpting medium foam is made by mixing a number of chemicals and adding a 'gassing agent' that makes bubbles and turns the plastic cellular.<br><Br>Bread has to be baked in a stove, but foamed plastics are heated from within- the heat comes from the chemical reaction. When the block of foam has finished rising, it's called a bun of foam just like a bun of bread.<br><br>Theoretically, there are as many different kinds of foam as there are different kinds of plastics. But practically speaking, there are only three families of foamed plastic used for sculpting: styrofoam, rigid urethane foam; and flexible foam","- basics of polystyrene foam sculpting<br>- how to use a hot-wire tool<br>- how to scale up your design to unbelievable sizes",1,"Beginners welcome!","Lee Bennett","After leaving the British Navy, Lee Bennett created special effects with Weta Workshop, single handedly subdivided his property, renovated a boat, became a commercial pilot, built a plane in his conservatory, and built WW1 vehicles and planes (in a proper factory this time).<br><Br>Lee Bennett is one of the founders of Wellington MakerSpace, the first floor space at 6 Vivian St they’ve outfitted provides a workshop on steroids. It is specifically provided for those looking to make one-offs, prototypes and sellable items from plastic, metal and wood – but who don’t have either their own facility nor the scope or scale to necessarily approach larger scale engineers or fabricators.","","cost","$20","Click the link on this lesson. You will be transferred to the event on Meetup where you must RSVP. A time and date will be announced once the minimum interest level has been reached. If the organized time does not work, you will be able to cancel at this time with no penalty or cost.","","","","http://sticknz.net/2012/06/26/if-we-build-it-will-they-come-makerspace-takes-a-punt/"
86,77,"zero to hero","make a crossbow","Fire first, ask questions later. Learning how to build crossbows so powerful that you can take down 4 or 5 zombies with a single bolt.","",1,"","Lee Bennett","After leaving the British Navy, Lee Bennett created special effects with Weta Workshop, single handedly subdivided his property, renovated a boat, became a commercial pilot, built a plane in his conservatory, and built WW1 vehicles and planes (in a proper factory this time).<br><Br>Lee Bennett is one of the founders of Wellington MakerSpace, the first floor space at 6 Vivian St they’ve outfitted provides a workshop on steroids. It is specifically provided for those looking to make one-offs, prototypes and sellable items from plastic, metal and wood – but who don’t have either their own facility nor the scope or scale to necessarily approach larger scale engineers or fabricators.","","please select..","$26","Click the link on this lesson. You will be transferred to the event on Meetup where you must RSVP. A time and date will be announced once the minimum interest level has been reached. If the organized time does not work, you will be able to cancel at this time with no penalty or cost.","","","",""
87,77,"introduction","make a dart bow","Pocket-sized dart bow - a useful addition to your undead-eradication kit. Be Prepared.Rubber band gun -  Rubber bands have been known to scare zombies into submission- be afraid, be very afraid of this terrifying weapon system!","",1,"","Lee Bennett","After leaving the British Navy, Lee Bennett created special effects with Weta Workshop, single handedly subdivided his property, renovated a boat, became a commercial pilot, built a plane in his conservatory, and built WW1 vehicles and planes (in a proper factory this time).<br><Br>Lee Bennett is one of the founders of Wellington MakerSpace, the first floor space at 6 Vivian St they’ve outfitted provides a workshop on steroids. It is specifically provided for those looking to make one-offs, prototypes and sellable items from plastic, metal and wood – but who don’t have either their own facility nor the scope or scale to necessarily approach larger scale engineers or fabricators.","","please select..","$26","Click the link on this lesson. You will be transferred to the event on Meetup where you must RSVP. A time and date will be announced once the minimum interest level has been reached. If the organized time does not work, you will be able to cancel at this time with no penalty or cost.","","","",""
88,77,"introduction","make a longbow","Ranged-weapons for people serious about the impending zombie situation. Be Prepared!","",1,"","Lee Bennett","After leaving the British Navy, Lee Bennett created special effects with Weta Workshop, single handedly subdivided his property, renovated a boat, became a commercial pilot, built a plane in his conservatory, and built WW1 vehicles and planes (in a proper factory this time).<br><Br>Lee Bennett is one of the founders of Wellington MakerSpace, the first floor space at 6 Vivian St they’ve outfitted provides a workshop on steroids. It is specifically provided for those looking to make one-offs, prototypes and sellable items from plastic, metal and wood – but who don’t have either their own facility nor the scope or scale to necessarily approach larger scale engineers or fabricators.","","please select..","$26 including materials","Click the link on this lesson. You will be transferred to the event on Meetup where you must RSVP. A time and date will be announced once the minimum interest level has been reached. If the organized time does not work, you will be able to cancel at this time with no penalty or cost.","As this class is all about preparing you for the zombie apocalypse, we'll try to be as authentically 'post-apocalypse' as possible which means no fancy materials, just what you might find lying about the place when the world is overrun with the un-dead.  To help put together your longbow, we ask that you scavenge something you think could be used...think pipe, think rope, electrical tape.... (and don't worry we've got a few things in our Box of Special LongBow Making Materials to make sure we all get to the target practice with something that fires!)","","",""
89,77,"zero to hero","make a potato cannon","It's better to have a potato cannon and not need one, than to need a potato cannon and not have one. We'll help you along!","",1,"","Lee Bennett","After leaving the British Navy, Lee Bennett created special effects with Weta Workshop, single handedly subdivided his property, renovated a boat, became a commercial pilot, built a plane in his conservatory, and built WW1 vehicles and planes (in a proper factory this time).<br><Br>Lee Bennett is one of the founders of Wellington MakerSpace, the first floor space at 6 Vivian St they’ve outfitted provides a workshop on steroids. It is specifically provided for those looking to make one-offs, prototypes and sellable items from plastic, metal and wood – but who don’t have either their own facility nor the scope or scale to necessarily approach larger scale engineers or fabricators.","","cost","$20","Click the link on this lesson. You will be transferred to the event on Meetup where you must RSVP. A time and date will be announced once the minimum interest level has been reached. If the organized time does not work, you will be able to cancel at this time with no penalty or cost.","","","",""
90,75,"introduction","re-enliven your wardrobe","Your wardrobe is an expression of your personality! Give your wardrobe a new lease on life, by getting creative and adding a few inexpensive items. We will be focusing on simplifying and invigorating your wardrobe and will explore colour, patterns, accessories, and find out which clothes match your figure.","",1,"","Megan Salole","","","donation","Donation to Action Station","Click the link on this lesson. You will be transferred to the event on Meetup where you must RSVP. A time and date will be announced once the minimum interest level has been reached. If the organized time does not work, you will be able to cancel at this time with no penalty or cost.","","","",""
91,62,"introduction","sculpture: bronze casting","Get in touch with the inner Leonardo : Bronze Casting. Yup metal melts and can be formed very easily.","We&#039;ll be using plaster to mimic metals to introduce you to the method.",1,"","Lee Bennett","After leaving the British Navy, Lee Bennett created special effects with Weta Workshop, single handedly subdivided his property, renovated a boat, became a commercial pilot, built a plane in his conservatory, and built WW1 vehicles and planes (in a proper factory this time).<br><Br>Lee Bennett is one of the founders of Wellington MakerSpace, the first floor space at 6 Vivian St they’ve outfitted provides a workshop on steroids. It is specifically provided for those looking to make one-offs, prototypes and sellable items from plastic, metal and wood – but who don’t have either their own facility nor the scope or scale to necessarily approach larger scale engineers or fabricators.","","cost","$20","Click the link on this lesson. You will be transferred to the event on Meetup where you must RSVP. A time and date will be announced once the minimum interest level has been reached. If the organized time does not work, you will be able to cancel at this time with no penalty or cost.","","","",""
92,66,"tips + tricks","excel","Learn some Microsoft Excel spreadsheet pro tips and tricks!","",3,"A basic knowledge of Excel is required","Josh Forde","Josh is a Microsoft Office Ninja","","please select..","","Click the link on this lesson. You will be transferred to the event on Meetup where you must RSVP. A time and date will be announced once the minimum interest level has been reached. If the organized time does not work, you will be able to cancel at this time with no penalty or cost.","","","",""
93,66,"tips   tricks","fix your life..starting with e-mail","Richard Bartlett will provide some tips and tricks on life... starting with e-mail!","",1,"","Richard Bartlett","","","please select..","","Click the link on this lesson. You will be transferred to the event on Meetup where you must RSVP. A time and date will be announced once the minimum interest level has been reached. If the organized time does not work, you will be able to cancel at this time with no penalty or cost.","","","",""
94,65,"introduction","how to start a cafe","Aaron shares his experiences and advice on how to start a cafe!","",1,"","Aaron Thornton","","","please select..","","Click the link on this lesson. You will be transferred to the event on Meetup where you must RSVP. A time and date will be announced once the minimum interest level has been reached. If the organized time does not work, you will be able to cancel at this time with no penalty or cost.","","","",""
